"corpus","AranRusj_x"
"subcorpus","-"
"concordance size","8115"
"query","Query:[lemma!="".*инг"" & tag=""N.*""] within [lemma="".*инг"" & tag=""N.*""] [lemma!="".*инг""&tag=""N.*""]"
"стратегии",4,""
"соблюдения",4,""
"сервиз",4,""
"сервер",4,""
"рыболовства",4,""
"рус",4,""
"рук",4,""
"ресурса",4,""
"распространения",4,""
"работодателей",4,""
"работа",4,""
"пупка",4,""
"публикаций",4,""
"профессий",4,""
"продукта",4,""
"провайдером",4,""
"представителей",4,""
"предприятие",4,""
"прав",4,""
"потребностей",4,""
"посещаемости",4,""
"подготовки",4,""
"площадке",4,""
"платежей",4,""
"отраслей",4,""
"отношений",4,""
"отдела",4,""
"осадок",4,""
"новорожденных",4,""
"моделей",4,""
"миллиардеров",4,""
"машины",4,""
"магазинов",4,""
"магазина",4,""
"лечения",4,""
"курса",4,""
"коррупции",4,""
"конкурентоспособности",4,""
"кожа",4,""
"истории",4,""
"интернета",4,""
"имущество",4,""
"зданий",4,""
"грузчиков",4,""
"государств",4,""
"голосования",4,""
"выставок",4,""
"внедорожников",4,""
"веста",4,""
"веб-студий",4,""
"банк",4,""
"анкет",4,""
"Хилл",4,""
"Хайлэндс",4,""
"УАЗ",4,""
"Специалисты",4,""
"Скилл",4,""
"Сергей",4,""
"Светланы",4,""
"СНГ",4,""
"Разметка",4,""
"Путина",4,""
"Программа",4,""
"Понятие",4,""
"ПВХ",4,""
"Организация",4,""
"НН",4,""
"Лимитед",4,""
"Компании",4,""
"Интернета",4,""
"Интернет",4,""
"Игоря",4,""
"Евгений",4,""
"Дёке",4,""
"Доставок",4,""
"Джон",4,""
"Группа",4,""
"ГЛОНАСС",4,""
"Владимира",4,""
"ВГТРК",4,""
"АНКОР",4,""
"ягодиц",3,""
"часть",3,""
"центров",3,""
"цена",3,""
"фонда",3,""
"учета",3,""
"успеха",3,""
"услуги",3,""
"угона",3,""
"тюмень",3,""
"тренировки",3,""
"трейд",3,""
"трафика",3,""
"трафик",3,""
"торговли",3,""
"текста",3,""
"съемок",3,""
"студенточка",3,""
"стройтехники",3,""
"стоп",3,""
"стоимость",3,""
"статуса",3,""
"станции",3,""
"средства",3,""
"спортсменов",3,""
"специалисты",3,""
"соцсетей",3,""
"снаряжение",3,""
"скотч",3,""
"система",3,""
"серии",3,""
"сериала",3,""
"серверов",3,""
"санкт-петербург",3,""
"самолетов",3,""
"с-петербурга",3,""
"решения",3,""
"решение",3,""
"расчета",3,""
"районов",3,""
"работ",3,""
"прозрачности",3,""
"продавцов",3,""
"программу",3,""
"программ",3,""
"проведения",3,""
"проблем",3,""
"прибыли",3,""
"прессы",3,""
"препаратов",3,""
"председатель",3,""
"предпринимательства",3,""
"практики",3,""
"правонарушений",3,""
"поступления",3,""
"порядка",3,""
"портала",3,""
"положения",3,""
"политиков",3,""
"поиска",3,""
"познания",3,""
"поддержки",3,""
"повышения",3,""
"печати",3,""
"переход",3,""
"перевозки",3,""
"памяти",3,""
"охраны",3,""
"объекта",3,""
"оборудование",3,""
"обменников",3,""
"носа",3,""
"номер",3,""
"ног",3,""
"нагрузки",3,""
"мышц",3,""
"мотора",3,""
"мнений",3,""
"местоположения",3,""
"местонахождения",3,""
"мероприятия",3,""
"м",3,""
"людям",3,""
"лизингополучателю",3,""
"лидеров",3,""
"лайн",3,""
"курсов",3,""
"курс",3,""
"культуры",3,""
"кошек",3,""
"концентрации",3,""
"контента",3,""
"комплекс",3,""
"компаний-экспортеров",3,""
"комментариев",3,""
"колл-центров",3,""
"количество",3,""
"клубов",3,""
"клиента",3,""
"канала",3,""
"инструкторов",3,""
"инноваций",3,""
"издания",3,""
"игры",3,""
"игроков",3,""
"зимой",3,""
"зерна",3,""
"заместителя",3,""
"законотворцев",3,""
"задолженности",3,""
"загрузки",3,""
"заведения",3,""
"доходов",3,""
"доступа",3,""
"дом",3,""
"директор",3,""
"дизеля",3,""
"двигатель",3,""
"губернатора",3,""
"глава",3,""
"глав",3,""
"гаражников",3,""
"газ",3,""
"выбросов",3,""
"выборов",3,""
"врачей",3,""
"водотоков",3,""
"владельцев",3,""
"веб-ресурса",3,""
"введения",3,""
"ваз",3,""
"бренда",3,""
"болезни",3,""
"блога",3,""
"базы",3,""
"ассортимента",3,""
"аккаунта",3,""
"аккаунт",3,""
"агентство",3,""
"автора",3,""
"автомобиль",3,""
"авто",3,""
"Юлии",3,""
"ЭСИСП",3,""
"Шоу",3,""
"Хилле",3,""
"Харбор",3,""
"Формат",3,""
"Форекс",3,""
"Филип",3,""
"Украины",3,""
"Указов",3,""
"Термин",3,""
"Тема",3,""
"Суть",3,""
"Стоимость",3,""
"Стивен",3,""
"Собянина",3,""
"Система",3,""
"Сергея",3,""
"Радости",3,""
"Работа",3,""
"Процедура",3,""
"Продактс",3,""
"Пипченко",3,""
"Партнер",3,""
"Парижу",3,""
"ПРОДАЖ",3,""
"ПЛЮС",3,""
"ПАММ-счетов",3,""
"Отделка",3,""
"Отдел",3,""
"Обязанности",3,""
"Натальи",3,""
"НАРКОТИКОВ",3,""
"Москвы",3,""
"Михаила",3,""
"Михаил",3,""
"Министерства",3,""
"МП",3,""
"Класс",3,""
"ИТ-инфраструктуры",3,""
"Запчасти",3,""
"Задача",3,""
"Дэниса",3,""
"Грофа",3,""
"Гала",3,""
"Виктор",3,""
"Бюро",3,""
"Борис",3,""
"Андрея",3,""
"Александра",3,""
"Агентства",3,""
"АС",3,""
"АКГ",3,""
"АД",3,""
"IT-процессов",3,""
"GPS-навигаторов",3,""
"языка",2,""
"энергия",2,""
"эмоций",2,""
"эксплуатации",2,""
"экспертов",2,""
"экспертами",2,""
"щуки",2,""
"шоу",2,""
"школа",2,""
"шествий",2,""
"численностью",2,""
"человеку",2,""
"центрам",2,""
"целеполагания",2,""
"хостингов",2,""
"хирурга",2,""
"фотографиям",2,""
"фотографий",2,""
"форума",2,""
"фенолом",2,""
"ушей",2,""
"учреждений",2,""
"участника",2,""
"успешности",2,""
"успехов",2,""
"успеваемости",2,""
"усвоения",2,""
"управление",2,""
"угонов",2,""
"трудящихся",2,""
"тренера",2,""
"трансформация",2,""
"трансмиссии",2,""
"трансакций",2,""
"торгов",2,""
"топлива",2,""
"топлазер",2,""
"тематики",2,""
"тематика",2,""
"телеканала",2,""
"тат",2,""
"таск-менеджеров",2,""
"тарифов",2,""
"счета",2,""
"счастья",2,""
"сформированности",2,""
"студента",2,""
"стрит",2,""
"страницу",2,""
"странице",2,""
"стоун",2,""
"стекла",2,""
"ставок",2,""
"стабильности",2,""
"ссылок",2,""
"сроком",2,""
"спроса",2,""
"спортсмены",2,""
"спорт",2,""
"специалистов",2,""
"специалистам",2,""
"специалиста",2,""
"спаниеля",2,""
"состава",2,""
"сопровождение",2,""
"соответствия",2,""
"содержание",2,""
"соблазнения",2,""
"снежинки",2,""
"слушатели",2,""
"сложности",2,""
"системой",2,""
"системе",2,""
"системами",2,""
"симпатий",2,""
"сетей",2,""
"сервисов",2,""
"семинар",2,""
"себестоимости",2,""
"свободы",2,""
"самочувствия",2,""
"самостоятельности",2,""
"сайты",2,""
"сайту",2,""
"сайт",2,""
"рынков",2,""
"рыбками",2,""
"руками",2,""
"роста",2,""
"реферера",2,""
"рефераты",2,""
"реферат",2,""
"ресторана",2,""
"резюме",2,""
"режимы",2,""
"регионы",2,""
"ребята",2,""
"расчёта",2,""
"расхода",2,""
"рассмотрения",2,""
"рассказа",2,""
"расизма",2,""
"размещения",2,""
"размером",2,""
"размер",2,""
"раз",2,""
"радиостанций",2,""
"рабочих",2,""
"публичности",2,""
"публикации",2,""
"процесс",2,""
"производство",2,""
"производителя",2,""
"продажи",2,""
"продавца",2,""
"провайдеры",2,""
"провайдеру",2,""
"провайдеров",2,""
"проблема",2,""
"причин",2,""
"принятия",2,""
"принципа",2,""
"приложений",2,""
"премьер",2,""
"президент",2,""
"презентации",2,""
"председателя",2,""
"предприятия",2,""
"предпочтений",2,""
"предоставления",2,""
"практикум",2,""
"почты",2,""
"потребителей",2,""
"посылки",2,""
"постов",2,""
"поставок",2,""
"пост",2,""
"последствий",2,""
"посещения",2,""
"портов",2,""
"пороков",2,""
"полости",2,""
"показатель",2,""
"показаний",2,""
"пожаров",2,""
"погоды",2,""
"поверхности",2,""
"победителем",2,""
"победителей",2,""
"платформы",2,""
"платежи",2,""
"планом",2,""
"планирования",2,""
"плазмой",2,""
"питания",2,""
"петербург",2,""
"передачи",2,""
"педагогов",2,""
"пациента",2,""
"парк",2,""
"параллакс",2,""
"панелей",2,""
"памятников",2,""
"оценок",2,""
"оценки",2,""
"офисов",2,""
"отношения",2,""
"открытости",2,""
"отзывов",2,""
"оптом",2,""
"оптика",2,""
"определения",2,""
"операций",2,""
"операторы",2,""
"операторов-лидеров",2,""
"оператора",2,""
"округов",2,""
"озера",2,""
"объявления",2,""
"объемом",2,""
"обучение",2,""
"обсуждений",2,""
"образования",2,""
"обеспечения",2,""
"наркотиков",2,""
"напряжения",2,""
"наполеон",2,""
"навыков",2,""
"мышью",2,""
"муниципалитетов",2,""
"мочки",2,""
"мототехники",2,""
"мотивации",2,""
"модернизации",2,""
"модель",2,""
"мира",2,""
"места",2,""
"мероприятий",2,""
"менеджером",2,""
"машинка",2,""
"маски",2,""
"маркеров",2,""
"ляпов",2,""
"люди",2,""
"лодок",2,""
"лодки",2,""
"логотипа",2,""
"логистика",2,""
"лобка",2,""
"лицея",2,""
"лизингодателю",2,""
"лесов",2,""
"лентами",2,""
"курсу",2,""
"кредит",2,""
"креативности",2,""
"крайслер",2,""
"кошка",2,""
"конкурса",2,""
"кондиционеров",2,""
"компьютера",2,""
"коммунистов",2,""
"книги",2,""
"клиники",2,""
"кликов",2,""
"клиенториентированности",2,""
"картинок",2,""
"кандидата",2,""
"каналов",2,""
"кампаний",2,""
"исполнителя",2,""
"исполнение",2,""
"инфраструктуры",2,""
"института",2,""
"индексации",2,""
"изучению",2,""
"изображений",2,""
"известности",2,""
"игрушек",2,""
"игр",2,""
"золото",2,""
"значений",2,""
"затрат",2,""
"запчастей",2,""
"записи",2,""
"заместитель",2,""
"заказчик",2,""
"заемщика",2,""
"журналов",2,""
"журнал",2,""
"женщина",2,""
"досуг",2,""
"доставки",2,""
"доменов",2,""
"дистрибьюторов",2,""
"дизайнеров",2,""
"дизайн-завода",2,""
"диагностика",2,""
"дерева",2,""
"деньги",2,""
"денег",2,""
"демонстраций",2,""
"давления",2,""
"губ",2,""
"групп",2,""
"грузовиков",2,""
"грузов",2,""
"грант",2,""
"гостиниц",2,""
"городов-миллионников",2,""
"гормона",2,""
"гениталий",2,""
"выступления",2,""
"выставки",2,""
"выпускников",2,""
"вуза",2,""
"время",2,""
"восприятия",2,""
"вопросов",2,""
"воздействия",2,""
"влиятельности",2,""
"власти",2,""
"владельцы",2,""
"вконтакте",2,""
"видео",2,""
"взаимоотношений",2,""
"вещь",2,""
"версии",2,""
"вежливости",2,""
"ведения",2,""
"бурения",2,""
"будущего",2,""
"брови",2,""
"брендов",2,""
"бревно",2,""
"богачей",2,""
"бизнесмена",2,""
"бизнеса",2,""
"бизнес-школы",2,""
"бизнес-школ",2,""
"балконов",2,""
"балкона",2,""
"атмосферы",2,""
"ассертивности",2,""
"аппарат",2,""
"аналитики",2,""
"альбома",2,""
"агентств",2,""
"автор",2,""
"автопарка",2,""
"ЮСК",2,""
"Элементы",2,""
"Эконом",2,""
"ЭКГ",2,""
"Ши",2,""
"Швейцарии",2,""
"Шаг",2,""
"ЧТПЗ",2,""
"Центр",2,""
"Целью",2,""
"ЦОД",2,""
"Франции",2,""
"Фото",2,""
"Формирование",2,""
"Февраль",2,""
"Фармтех",2,""
"Фаберлик",2,""
"ФСПР",2,""
"ФГУП",2,""
"Услуга",2,""
"Упаковка",2,""
"Универсал",2,""
"Украина",2,""
"УР",2,""
"УК",2,""
"Трансформация",2,""
"Таиланд",2,""
"Су",2,""
"Студия",2,""
"Стандард",2,""
"Союза",2,""
"Создание",2,""
"Слово",2,""
"Симпатий",2,""
"Семинар",2,""
"Сбербанк",2,""
"Санкт-Петербурга",2,""
"Росстата",2,""
"Ромир",2,""
"Республики",2,""
"Реньюлифт",2,""
"Реми",2,""
"Ревю",2,""
"Размещение",2,""
"Радислава",2,""
"РШМ",2,""
"РОСС",2,""
"РОМИР",2,""
"РМП",2,""
"РИМА",2,""
"РЖД",2,""
"Программы",2,""
"Проблема",2,""
"Приобретение",2,""
"Приложений",2,""
"План",2,""
"Перекладка",2,""
"Пауэлл",2,""
"Пасха",2,""
"Памяти",2,""
"ПО",2,""
"ПКФ",2,""
"Основой",2,""
"Олега",2,""
"Обеспечение",2,""
"ОСГ",2,""
"ОСАО",2,""
"ООН",2,""
"ОНФ",2,""
"ОМК",2,""
"ОAО",2,""
"Норгей",2,""
"Название",2,""
"НБКИ",2,""
"Мосс",2,""
"Москва",2,""
"Мортона",2,""
"Минсельхоза",2,""
"Менеджменту",2,""
"МИЭЛЬ",2,""
"МГУ",2,""
"Луфутр",2,""
"Лтд",2,""
"Лонг",2,""
"Ли",2,""
"Кухня",2,""
"Константина",2,""
"Комплект",2,""
"Количество",2,""
"КПЛ",2,""
"Италии",2,""
"Информация",2,""
"Интервью",2,""
"Института",2,""
"Ильи",2,""
"Игорь",2,""
"Ивнянский",2,""
"ИА",2,""
"Зиг-Заг",2,""
"Заказчик",2,""
"Елены",2,""
"Европы",2,""
